rank,entropy_bits,sequence
1,13.179227,toile duras cames beans septa
2,13.179227,duras toile cames beans septa
3,13.177803,toile duras cames beans sepia
4,13.177803,duras toile cames beans sepia
5,13.165260,toile duras cames banes septa
6,13.165260,toile duras banes cames septa
7,13.165260,duras toile cames banes septa
8,13.165260,duras toile banes cames septa
9,13.165054,toile duras cames banes sepia
10,13.165054,toile duras banes cames sepia
11,13.165054,duras toile cames banes sepia
12,13.165054,duras toile banes cames sepia
13,13.163972,toile duras cames beans sapit
14,13.163972,duras toile cames beans sapit
15,13.160091,toile duras peans cames sabir
16,13.160091,toile duras cames peans sabir
17,13.160091,duras toile peans cames sabir
18,13.160091,duras toile cames peans sabir
19,13.159064,toran melis suade capes bails
20,13.159064,toran melis capes suade bails
21,13.159064,melis toran suade capes bails
22,13.159064,melis toran capes suade bails
23,13.155975,toile duras means capes sabir
24,13.155975,duras toile means capes sabir
25,13.153624,toran melis suade capes baits
26,13.153624,toran melis capes suade baits
27,13.153624,melis toran suade capes baits
28,13.153624,melis toran capes suade baits
29,13.152981,toran melis suade paces bails
30,13.152981,toran melis paces suade bails
31,13.152981,melis toran suade paces bails
32,13.152981,melis toran paces suade bails
33,13.152090,toile duras peans maces sabir
34,13.152090,toile duras means paces sabir
35,13.152090,duras toile peans maces sabir
36,13.152090,duras toile means paces sabir
37,13.151203,toile duras cames beans siper
38,13.151203,duras toile cames beans siper
39,13.147527,toran melis suade paces baits
40,13.147527,toran melis paces suade baits
41,13.147527,melis toran suade paces baits
42,13.147527,melis toran paces suade baits
43,13.146366,toran melis suade capes bries
44,13.146366,toran melis capes suade bries
45,13.146366,melis toran suade capes bries
46,13.146366,melis toran capes suade bries
47,13.145824,toile duras cames hanse sepia
48,13.145824,duras toile cames hanse sepia
49,13.144769,toile duras cames neaps sabir
50,13.144769,duras toile cames neaps sabir
51,13.144437,toran melis suade capes ribes
52,13.144437,toran melis capes suade ribes
53,13.144437,melis toran suade capes ribes
54,13.144437,melis toran capes suade ribes
55,13.144325,toner bails suade cames perai
56,13.144325,bails toner suade cames perai
57,13.144253,trine molas hades cures sepia
58,13.144253,trine molas cures hades sepia
59,13.144253,molas trine hades cures sepia
60,13.144253,molas trine cures hades sepia
61,13.141248,manet doris sepal cause bails
