index,answer,rand,rand_s,ent,ent_s,pos,pos_s
0,sizal,3,1,3,1,4,1
1,abend,4,1,7,0,7,0
2,bagre,3,1,3,1,4,1
3,coxal,5,1,3,1,4,1
4,gamic,3,1,4,1,4,1
5,felon,3,1,5,1,5,1
6,decyl,4,1,5,1,4,1
7,qibla,7,0,4,1,4,1
8,anser,3,1,3,1,3,1
9,forel,4,1,5,1,5,1
10,aunty,3,1,5,1,4,1
11,carga,6,1,5,1,5,1
12,slich,4,1,4,1,4,1
13,danli,3,1,4,1,4,1
14,fabes,4,1,7,0,7,0
15,dagos,5,1,4,1,4,1
16,nancy,3,1,4,1,3,1
17,shall,5,1,5,1,5,1
18,rimal,4,1,6,1,6,1
19,girba,6,1,4,1,4,1
20,anime,3,1,3,1,4,1
21,spiry,5,1,5,1,5,1
22,kicks,4,1,7,0,7,0
23,coeds,3,1,3,1,3,1
24,unrra,4,1,4,1,4,1
25,nooky,4,1,4,1,4,1
26,siree,5,1,4,1,4,1
27,tsuga,5,1,4,1,4,1
28,brunt,5,1,6,1,6,1
29,papio,4,1,3,1,3,1
30,tents,5,1,3,1,3,1
31,shorn,5,1,5,1,5,1
32,coomy,4,1,3,1,3,1
33,cozes,3,1,3,1,3,1
34,sadly,5,1,5,1,5,1
35,nones,9,0,4,1,4,1
36,vocat,3,1,3,1,3,1
37,keels,7,0,5,1,5,1
38,lagen,4,1,3,1,3,1
39,romeo,6,1,4,1,4,1
40,munch,6,1,5,1,5,1
41,hooch,3,1,5,1,4,1
42,nyoro,4,1,4,1,4,1
43,moved,8,0,5,1,5,1
44,rizar,4,1,4,1,4,1
45,hetty,5,1,4,1,7,0
46,slats,3,1,3,1,3,1
47,askip,3,1,4,1,4,1
48,shogs,4,1,5,1,5,1
49,froom,6,1,4,1,4,1
50,frowl,6,1,6,1,6,1
51,slash,4,1,5,1,5,1
52,plupf,4,1,4,1,4,1
53,asgmt,4,1,4,1,4,1
54,wekau,6,1,5,1,5,1
55,aveny,4,1,4,1,4,1
56,abdat,6,1,4,1,4,1
57,lions,3,1,3,1,3,1
58,farad,6,1,5,1,5,1
59,lored,4,1,4,1,4,1
60,golem,5,1,4,1,4,1
61,ology,5,1,4,1,4,1
62,welly,5,1,5,1,4,1
63,buhrs,3,1,5,1,5,1
64,faire,5,1,7,0,7,0
65,verey,4,1,4,1,4,1
66,milch,6,1,5,1,5,1
67,czech,3,1,4,1,4,1
68,dunch,5,1,7,0,7,0
69,admov,4,1,5,1,5,1
70,dicer,4,1,3,1,3,1
71,bater,10,0,10,0,10,0
72,goyim,4,1,4,1,4,1
73,skeps,4,1,4,1,4,1
74,fleck,5,1,4,1,5,1
75,certy,3,1,3,1,3,1
76,wasco,3,1,3,1,3,1
77,flunk,4,1,5,1,5,1
78,stulm,3,1,3,1,4,1
79,rants,3,1,3,1,3,1
80,yechs,5,1,4,1,4,1
81,dital,6,1,5,1,5,1
82,mesua,5,1,4,1,5,1
83,thete,5,1,4,1,4,1
84,boort,5,1,4,1,5,1
85,tmema,4,1,4,1,4,1
86,yabbi,5,1,5,1,5,1
87,lipse,4,1,4,1,4,1
88,linha,4,1,5,1,5,1
89,mouly,6,1,5,1,6,1
90,bards,7,0,9,0,9,0
91,girls,4,1,4,1,4,1
92,eager,4,1,10,0,10,0
93,bosks,6,1,5,1,5,1
94,fjord,5,1,4,1,4,1
95,dints,4,1,6,1,6,1
96,alpax,4,1,4,1,6,1
97,pflag,4,1,4,1,5,1
98,lumme,4,1,5,1,5,1
99,aweek,6,1,4,1,4,1
100,fonts,4,1,4,1,4,1
101,keets,9,0,6,1,6,1
102,ortet,4,1,4,1,4,1
103,ditch,4,1,8,0,8,0
104,gaurs,4,1,4,1,4,1
105,oaths,4,1,4,1,4,1
106,bahay,5,1,4,1,4,1
107,kevyn,4,1,5,1,5,1
108,grind,4,1,4,1,4,1
109,jebat,4,1,4,1,4,1
110,escar,3,1,4,1,4,1
111,snerp,3,1,3,1,3,1
112,giber,4,1,6,1,6,1
113,soppy,5,1,5,1,4,1
114,pavid,5,1,4,1,5,1
115,taipi,4,1,4,1,3,1
116,mbori,5,1,5,1,5,1
117,hasty,5,1,3,1,3,1
118,tabog,4,1,4,1,4,1
119,viner,6,1,5,1,5,1
120,peags,7,0,5,1,5,1
121,unrid,3,1,5,1,5,1
122,purin,3,1,3,1,3,1
123,carlo,3,1,4,1,4,1
124,ritzy,4,1,5,1,5,1
125,lawks,7,0,4,1,4,1
126,added,4,1,4,1,4,1
127,fulah,5,1,5,1,5,1
128,breve,5,1,4,1,4,1
129,gibbi,4,1,4,1,4,1
130,duali,6,1,5,1,5,1
131,sarip,3,1,3,1,3,1
132,linja,6,1,4,1,4,1
133,duads,5,1,5,1,5,1
134,fusel,4,1,5,1,5,1
135,nifty,4,1,5,1,5,1
136,zazen,4,1,5,1,5,1
137,coque,6,1,4,1,4,1
138,oases,4,1,4,1,4,1
139,cores,3,1,3,1,3,1
140,knave,5,1,5,1,5,1
141,gnome,5,1,4,1,6,1
142,gleed,4,1,4,1,4,1
143,jelib,5,1,4,1,5,1
144,maugh,4,1,4,1,4,1
145,tubed,4,1,5,1,5,1
146,arcus,3,1,4,1,4,1
147,nabla,3,1,4,1,4,1
148,mopsy,5,1,5,1,5,1
149,knape,4,1,5,1,5,1
150,tawgi,4,1,4,1,4,1
151,argot,5,1,4,1,4,1
152,stell,4,1,4,1,4,1
153,korea,3,1,3,1,3,1
154,choli,4,1,4,1,4,1
155,shahi,5,1,4,1,4,1
156,spies,5,1,4,1,4,1
157,causa,4,1,3,1,3,1
158,litho,3,1,3,1,3,1
159,pylon,4,1,4,1,4,1
160,rives,4,1,4,1,4,1
161,gimme,6,1,4,1,5,1
162,limos,4,1,4,1,4,1
163,gadid,6,1,4,1,4,1
164,dooja,7,0,4,1,4,1
165,sulea,3,1,3,1,3,1
166,cairo,3,1,3,1,3,1
167,bonbo,6,1,5,1,5,1
168,pingo,5,1,4,1,4,1
169,sloom,5,1,4,1,4,1
170,snore,4,1,3,1,3,1
171,cohow,4,1,4,1,4,1
172,gowns,7,0,4,1,5,1
173,guaco,3,1,4,1,4,1
174,manit,4,1,3,1,3,1
175,bents,9,0,8,0,8,0
176,scale,3,1,3,1,3,1
177,titus,3,1,4,1,4,1
178,cunan,5,1,3,1,3,1
179,hacks,4,1,3,1,3,1
180,topis,3,1,3,1,3,1
181,afret,4,1,4,1,4,1
182,lindy,4,1,5,1,5,1
183,twick,4,1,3,1,3,1
184,perdy,5,1,6,1,6,1
185,hdqrs,4,1,4,1,4,1
186,moldy,5,1,5,1,5,1
187,hable,6,1,4,1,4,1
188,tondi,3,1,3,1,3,1
189,zonal,5,1,4,1,4,1
190,macer,4,1,5,1,5,1
191,dirca,3,1,4,1,4,1
192,sinus,7,0,5,1,5,1
193,benni,5,1,6,1,6,1
194,amalg,5,1,5,1,5,1
195,okays,4,1,4,1,4,1
196,appet,4,1,5,1,5,1
197,bessi,4,1,4,1,4,1
198,maana,6,1,5,1,5,1
199,sluer,5,1,4,1,4,1
200,stoga,4,1,5,1,5,1
201,nihal,6,1,4,1,5,1
202,arish,4,1,4,1,4,1
203,pumas,5,1,4,1,4,1
204,saiph,4,1,5,1,5,1
205,whill,5,1,4,1,4,1
206,cabio,3,1,3,1,3,1
207,leath,5,1,5,1,4,1
208,comas,3,1,3,1,3,1
209,corps,6,1,3,1,3,1
210,mimsy,5,1,5,1,5,1
211,dujan,5,1,4,1,4,1
212,posed,4,1,4,1,4,1
213,tatta,5,1,4,1,4,1
214,teleg,3,1,4,1,4,1
215,snort,3,1,3,1,3,1
216,wolly,10,0,4,1,4,1
217,koels,4,1,4,1,4,1
218,kiaat,4,1,5,1,4,1
219,peens,4,1,4,1,5,1
220,rally,4,1,4,1,4,1
221,ribat,4,1,4,1,4,1
222,jinja,4,1,5,1,5,1
223,kumyk,4,1,4,1,4,1
224,caval,5,1,3,1,3,1
225,caned,3,1,3,1,3,1
226,asarh,5,1,5,1,5,1
227,belis,3,1,6,1,6,1
228,vehme,6,1,5,1,5,1
229,kales,4,1,8,0,8,0
230,reesk,4,1,4,1,4,1
231,comae,3,1,4,1,4,1
232,regna,4,1,4,1,4,1
233,irian,6,1,4,1,3,1
234,cravo,5,1,4,1,4,1
235,boson,3,1,4,1,4,1
236,whare,3,1,4,1,5,1
237,tonic,3,1,3,1,3,1
238,raped,5,1,8,0,8,0
239,parks,8,0,6,1,6,1
240,herse,4,1,6,1,6,1
241,usara,4,1,4,1,4,1
242,fidia,5,1,3,1,3,1
243,beany,4,1,6,1,6,1
244,esses,4,1,5,1,5,1
245,liane,4,1,3,1,3,1
246,eyrar,4,1,4,1,4,1
247,boded,8,0,7,0,7,0
248,novas,5,1,4,1,5,1
249,carry,3,1,5,1,5,1
250,duets,4,1,4,1,5,1
251,files,7,0,8,0,8,0
252,palls,6,1,6,1,6,1
253,drums,4,1,4,1,4,1
254,yaboo,3,1,4,1,4,1
255,telic,3,1,3,1,3,1
256,matra,4,1,3,1,3,1
257,slags,6,1,9,0,9,0
258,blast,4,1,4,1,4,1
259,herns,5,1,4,1,4,1
260,agist,4,1,4,1,4,1
261,ocote,3,1,4,1,3,1
262,plash,6,1,5,1,5,1
263,cruet,4,1,4,1,4,1
264,nixon,6,1,4,1,5,1
265,mused,5,1,4,1,4,1
266,cozen,6,1,3,1,3,1
267,taels,3,1,3,1,3,1
268,purda,5,1,5,1,5,1
269,towns,3,1,3,1,3,1
270,laury,4,1,4,1,4,1
271,boyau,5,1,4,1,4,1
272,chirl,3,1,3,1,3,1
273,hoods,7,0,7,0,7,0
274,doven,6,1,5,1,5,1
275,ajhar,5,1,5,1,5,1
276,wined,8,0,3,1,3,1
277,garni,3,1,3,1,3,1
278,mbaya,4,1,4,1,4,1
279,wanky,6,1,6,1,6,1
280,rimed,5,1,5,1,5,1
281,psalm,5,1,4,1,4,1
282,omens,4,1,6,1,6,1
283,limns,4,1,4,1,4,1
284,krang,3,1,3,1,6,1
285,jowpy,6,1,5,1,5,1
286,sprag,4,1,5,1,5,1
287,magas,5,1,4,1,4,1
288,gramy,6,1,5,1,5,1
289,kelty,4,1,4,1,4,1
290,fohat,4,1,4,1,4,1
291,broom,4,1,7,0,7,0
292,hands,4,1,7,0,7,0
293,cowal,4,1,4,1,5,1
294,flirt,3,1,3,1,3,1
295,xylia,3,1,5,1,5,1
296,clone,3,1,3,1,3,1
297,verst,4,1,4,1,4,1
298,gunks,4,1,5,1,5,1
299,poles,10,0,5,1,5,1
300,shade,5,1,7,0,7,0
301,ghats,4,1,5,1,5,1
302,poilu,5,1,4,1,4,1
303,coapt,4,1,3,1,3,1
304,imide,5,1,4,1,4,1
305,humit,5,1,4,1,4,1
306,match,6,1,5,1,5,1
307,bonne,5,1,5,1,5,1
308,kenny,6,1,7,0,7,0
309,trist,3,1,3,1,3,1
310,steps,4,1,5,1,5,1
311,draws,6,1,6,1,6,1
312,blibe,6,1,6,1,6,1
313,grece,4,1,4,1,4,1
314,leith,4,1,4,1,4,1
315,dhikr,4,1,5,1,5,1
316,hamal,6,1,5,1,5,1
317,disco,4,1,4,1,4,1
318,lapsi,4,1,4,1,4,1
319,agoge,6,1,5,1,5,1
320,envoi,4,1,4,1,4,1
321,suina,5,1,3,1,3,1
322,tulle,4,1,4,1,4,1
323,slops,8,0,4,1,4,1
324,livid,4,1,4,1,4,1
325,glede,5,1,4,1,4,1
326,abris,5,1,5,1,5,1
327,agent,4,1,5,1,5,1
328,wefty,4,1,5,1,4,1
329,dreed,7,0,5,1,5,1
330,plaza,4,1,4,1,4,1
331,laugh,4,1,5,1,5,1
332,plunk,4,1,3,1,3,1
333,eosin,3,1,3,1,3,1
334,barbs,5,1,7,0,7,0
335,roads,5,1,5,1,5,1
336,frija,4,1,5,1,5,1
337,dimit,4,1,3,1,3,1
338,towny,3,1,4,1,4,1
339,quods,5,1,4,1,4,1
340,gulfy,5,1,5,1,5,1
341,menat,5,1,4,1,4,1
342,tutti,5,1,4,1,4,1
343,amove,5,1,4,1,4,1
344,khuai,4,1,5,1,5,1
345,unlid,3,1,3,1,3,1
346,overs,6,1,4,1,4,1
347,sammy,5,1,4,1,4,1
348,waggy,4,1,5,1,5,1
349,heidi,4,1,5,1,5,1
350,jehus,6,1,4,1,4,1
351,cacan,6,1,5,1,5,1
352,kiosk,4,1,5,1,5,1
353,dykes,6,1,4,1,4,1
354,drawl,4,1,5,1,5,1
355,molvi,4,1,5,1,5,1
356,rosin,3,1,3,1,3,1
357,horsy,4,1,4,1,4,1
358,scrow,3,1,3,1,4,1
359,agrah,5,1,5,1,5,1
360,nappy,4,1,5,1,5,1
361,hoggy,6,1,5,1,5,1
362,sowan,3,1,3,1,3,1
363,demur,4,1,4,1,5,1
364,baham,6,1,4,1,4,1
365,drone,3,1,6,1,6,1
366,polit,3,1,3,1,3,1
367,hammy,6,1,5,1,5,1
368,caque,4,1,4,1,4,1
369,alloy,5,1,3,1,4,1
370,troot,5,1,3,1,3,1
371,airan,3,1,3,1,3,1
372,swear,7,0,4,1,4,1
373,thawy,3,1,4,1,4,1
374,rhina,5,1,4,1,4,1
375,jodel,7,0,6,1,6,1
376,depot,4,1,5,1,5,1
377,plans,7,0,4,1,4,1
378,dotes,5,1,5,1,5,1
379,unsew,4,1,4,1,4,1
380,liver,3,1,4,1,4,1
381,clava,4,1,5,1,4,1
382,kirns,5,1,4,1,4,1
383,eches,4,1,4,1,4,1
384,wiste,3,1,4,1,4,1
385,wheer,5,1,5,1,5,1
386,aitis,3,1,3,1,3,1
387,molto,5,1,4,1,4,1
388,sutta,5,1,4,1,4,1
389,padri,6,1,4,1,4,1
390,kumni,5,1,5,1,5,1
391,anzac,5,1,4,1,4,1
392,hamus,4,1,5,1,5,1
393,bilio,4,1,4,1,4,1
394,citer,3,1,3,1,3,1
395,mucin,4,1,4,1,4,1
396,tabus,6,1,6,1,6,1
397,kesar,6,1,4,1,4,1
398,nines,3,1,5,1,4,1
399,volta,3,1,3,1,3,1
400,boris,3,1,5,1,5,1
401,pudic,4,1,4,1,4,1
402,mould,5,1,4,1,4,1
403,codas,4,1,4,1,4,1
404,foldy,4,1,3,1,3,1
405,barye,6,1,4,1,4,1
406,cymae,4,1,4,1,4,1
407,worry,7,0,4,1,4,1
408,decap,5,1,4,1,4,1
409,pouts,5,1,5,1,5,1
410,duroc,3,1,3,1,3,1
411,ancre,3,1,3,1,3,1
412,mopla,6,1,5,1,5,1
413,flocs,3,1,3,1,3,1
414,ursid,3,1,3,1,3,1
415,aspca,4,1,4,1,4,1
416,fawns,4,1,4,1,4,1
417,crews,4,1,3,1,3,1
418,class,8,0,6,1,6,1
419,docks,4,1,9,0,9,0
420,surya,4,1,4,1,4,1
421,fiefs,4,1,4,1,4,1
422,liter,3,1,3,1,3,1
423,geira,4,1,3,1,3,1
424,yfere,5,1,5,1,5,1
425,thymy,4,1,4,1,4,1
426,funis,4,1,5,1,5,1
427,slant,3,1,3,1,3,1
428,salmi,3,1,3,1,3,1
429,ahmed,5,1,4,1,4,1
430,chair,3,1,4,1,4,1
431,oadal,3,1,4,1,4,1
432,chena,3,1,3,1,3,1
433,remet,4,1,4,1,4,1
