word1,word2,entropy
tarie,solan,9.988213
sarin,toles,9.982281
lores,sanit,9.970169
toras,laine,9.968167
tarie,solen,9.962903
sorel,tains,9.943202
tores,laine,9.941672
lores,saint,9.940406
tales,norie,9.937601
taros,silen,9.936760
tires,salon,9.936760
roles,sanit,9.934190
salet,norie,9.930939
toras,silen,9.926696
lores,satin,9.919441
tarie,loans,9.918001
nares,toile,9.916580
sorel,sanit,9.762163
lores,tains,9.753716
tares,loins,9.753716
naris,toles,9.749252
ranis,toles,9.742917
tares,lions,9.737861
sorel,saint,9.730286
lanes,tiros,9.727863
taros,lines,9.727863
tares,linos,9.727863
tores,nails,9.726445
tares,noils,9.726445
nares,toils,9.726445
liras,tones,9.726412
toras,lines,9.726412
lairs,tones,9.722548
rails,tones,9.721100
airns,toles,9.720790
rains,toles,9.717692
roles,tains,9.717692
tarie,salon,9.703977
tores,linea,9.692369
taros,laine,9.673302
lares,teian,9.422944
lares,tenia,9.410811
tarie,senal,9.408833
tales,serin,9.406346
teras,laine,9.396974
tarie,solea,9.396418
lares,senit,9.391908
tares,sinal,9.389065
nares,telia,9.380762
rales,teian,9.376464
sinae,taros,9.376436
tares,solan,9.368660
rales,tenia,9.362580
lanes,terai,9.360291
lares,tenai,9.360291
solea,tarns,9.355143
teras,silen,9.349038
serta,laine,9.348511
rales,senit,9.347504
saner,telia,9.346894
seral,tains,9.343860
saite,lores,9.341201
tales,reina,9.340731
sinae,tores,9.340324
tarie,leans,9.337176
solea,airts,9.335708
salet,airns,9.335477
tales,serio,9.334587
sinae,taler,9.334052
lares,sotie,9.334042
teras,alien,9.332683
taels,siren,9.332681
siren,talis,9.331926
sarin,tiles,9.331926
tares,slain,9.328451
salet,reina,9.327859
tires,senal,9.327116
seral,tines,9.327116
teras,linea,9.325733
saite,neral,9.324993
tarie,sinal,9.324861
tares,sline,9.324768
tores,sanit,9.323549
teals,siren,9.323334
tarie,solar,9.322572
teals,sarin,9.322462
tarie,silen,9.322056
arles,sanit,9.321332
tarie,aeons,9.320852
tarie,sonar,9.320658
tares,liane,9.319185
salet,reins,9.319062
saite,renal,9.317797
arles,tenia,9.317185
tarie,lotas,9.316299
tarie,lines,9.314121
rales,tenai,9.313113
tales,sonar,9.312323
saner,tolas,9.312323
cares,teian,9.310575
taels,serin,9.310239
saite,roles,9.308305
solea,naris,9.307455
arles,teian,9.305991
teras,liane,9.305043
seral,tinea,9.304585
lares,sitao,9.304523
tales,ceria,9.304427
tares,celia,9.304427
cares,telia,9.304427
seora,talis,9.303549
tares,sloan,9.303030
tales,seron,9.302265
teras,aline,9.302172
solea,ranis,9.300433
serai,toles,9.299687
sarin,tones,9.299088
seora,tails,9.298930
serai,tones,9.298841
sorel,talis,9.298101
tarie,roles,9.297927
rales,sotie,9.297723
teras,solen,9.297452
aotes,sarin,9.296805
cares,tenia,9.296561
lanes,retia,9.296545
lares,senti,9.296312
salet,loris,9.295933
nares,sotie,9.295532
saite,leora,9.294178
earls,tinea,9.292672
serta,nails,9.291960
tores,saint,9.290830
saite,loris,9.290697
dares,teian,9.290134
salet,ceria,9.289958
teras,anile,9.289847
tarse,lenis,9.289705
arles,senit,9.288895
tarie,aloes,9.288615
tares,aline,9.288055
tarie,sulea,9.287933
serta,lines,9.287396
teras,sline,9.286515
solea,trias,9.286453
siren,tails,9.286149
tarse,silen,9.285603
solea,airns,9.285097
salet,tiros,9.284144
tarse,sinal,9.283623
tares,delia,9.283571
dares,telia,9.283571
tares,snail,9.283545
lares,snite,9.283543
serai,laten,9.283399
tores,senal,9.283083
seral,tones,9.283083
nares,slait,9.282551
tails,serin,9.281695
sorel,tails,9.281624
aries,tenla,9.281051
taise,soral,9.280692
solea,tains,9.280475
lares,toile,9.280461
seora,tains,9.279673
rates,sinal,9.279606
tares,elian,9.279481
solea,terns,9.279356
aotes,serin,9.278931
tears,laine,9.278243
solea,rains,9.277213
solea,rants,9.277003
tares,anile,9.276881
serta,alien,9.276435
tarns,sotie,9.276094
tarie,soler,9.276079
lanes,sitar,9.275529
saner,litas,9.275529
teras,salon,9.275351
sinae,caret,9.275173
dares,tenia,9.275123
rales,toran,9.274022
tores,satin,9.273987
airts,senal,9.273957
reals,tinea,9.273512
salet,orias,9.273001
raise,tolas,9.272666
reals,sanit,9.272391
nares,slite,9.272339
arles,tarin,9.272121
earls,teian,9.271652
riles,sanit,9.271395
arles,tenai,9.271170
cares,senit,9.270724
sinae,ratel,9.270410
tarie,melas,9.270320
teras,malie,9.270320
saite,learn,9.270197
sinae,ratos,9.269720
serta,liane,9.268911
lanes,stria,9.268866
taros,senal,9.268395
tears,silen,9.268363
naris,setal,9.267231
tries,senal,9.266935
tares,suina,9.266777
taise,lores,9.266305
lares,toise,9.266305
sarin,lites,9.266288
tears,linea,9.265930
lears,tinea,9.265930
lears,sanit,9.264636
sinae,later,9.264459
arles,satin,9.263727
rates,solan,9.263226
aures,teian,9.263215
ranis,setal,9.263129
arles,saint,9.262685
solea,terai,9.262644
sinae,lores,9.262433
tires,slane,9.261908
saite,aeron,9.261704
tarse,lines,9.261598
earls,tenia,9.261533
tales,aeron,9.261472
tales,erian,9.261036
lares,train,9.260740
mares,teian,9.260399
rales,sitao,9.260271
taise,solar,9.260119
earns,telia,9.259910
toras,aisle,9.259877
nares,sitao,9.259853
teras,manie,9.259767
tarse,solan,9.259519
nares,sloat,9.259244
treas,laine,9.259225
ceras,sanit,9.259058
tires,laine,9.259032
tores,siena,9.257663
aures,telia,9.257215
taise,sonar,9.257097
earls,sotie,9.257083
lanes,artie,9.256343
sinae,carts,9.256049
solea,artie,9.255900
tares,melia,9.255375
mares,telia,9.255375
tares,reoil,9.254971
aries,toran,9.254894
solea,arite,9.254708
salet,roils,9.253858
tares,slone,9.253533
dares,senit,9.253516
lanes,arite,9.253304
taise,sorel,9.253137
earls,senit,9.251992
teras,maile,9.251825
tarie,senor,9.251748
lares,trine,9.251386
